GENE	OCCURRENCE	SOURCE
HOXB13	3	ONCOKB
HSP90AA1	3	ONCOKB
ICOSLG	3	ONCOKB
IFNGR1	3	ONCOKB
IGF1	3	ONCOKB
IGF2	3	ONCOKB
IL10	3	ONCOKB
INHA	3	ONCOKB
INPP4A	3	ONCOKB
INPPL1	3	ONCOKB
INSR	3	ONCOKB
IRF1	3	ONCOKB
IRF8	3	ONCOKB
IRS1	3	ONCOKB
JARID2	3	ONCOKB
KAT6A	3	ONCOKB
KDSR	3	ONCOKB
KLHL6	3	ONCOKB
KMT2B	3	ONCOKB
KMT5A	3	ONCOKB
KNSTRN	3	ONCOKB
LASP1	3	ONCOKB
LCK	3	ONCOKB
LEF1	3	ONCOKB
LMO2	3	ONCOKB
LRP1B	3	ONCOKB
LZTR1	3	ONCOKB
MAFB	3	ONCOKB
MAPK3	3	ONCOKB
MAPKAP1	3	ONCOKB
MDC1	3	ONCOKB
MECOM	3	ONCOKB
MGA	3	ONCOKB
MLF1	3	ONCOKB
MLLT10	3	ONCOKB
MLLT3	3	ONCOKB
MN1	3	ONCOKB
MSI1	3	ONCOKB
MST1	3	ONCOKB
MTAP	3	ONCOKB
MYH11	3	ONCOKB
NCOA3	3	ONCOKB
NCSTN	3	ONCOKB
NEGR1	3	ONCOKB
NKX3-1	3	ONCOKB
NOTCH4	3	ONCOKB
NR4A3	3	ONCOKB
NTHL1	3	ONCOKB
NUF2	3	ONCOKB
NUP214	3	ONCOKB
NUP98	3	ONCOKB
NUTM1	3	ONCOKB
PAFAH1B2	3	ONCOKB
PAK1	3	ONCOKB
PAK5	3	ONCOKB
PAX3	3	ONCOKB
PAX7	3	ONCOKB
PCBP1	3	ONCOKB
PDGFB	3	ONCOKB
PDK1	3	ONCOKB
PDPK1	3	ONCOKB
PGR	3	ONCOKB
PICALM	3	ONCOKB
PIK3C3	3	ONCOKB
PIK3CD	3	ONCOKB
PIK3R3	3	ONCOKB
PLCG1	3	ONCOKB
PLK2	3	ONCOKB
PMAIP1	3	ONCOKB
PML	3	ONCOKB
PMS1	3	ONCOKB
PNRC1	3	ONCOKB
PPP4R2	3	ONCOKB
PRDM14	3	ONCOKB
PRKD1	3	ONCOKB
PTP4A1	3	ONCOKB
PTPN2	3	ONCOKB
PTPRD	3	ONCOKB
PTPRS	3	ONCOKB
QKI	3	ONCOKB
RAB35	3	ONCOKB
